what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1593242210584
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1593242210584
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1593242210584
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1593242210584
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1593242210584
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1593242210584
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1593242210584
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1593242210584
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1593242210584
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1593242210600
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1593242210600
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1593242210600
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1593242210600
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1593242210600
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1593242210600
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1593242210600
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1593242210600
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1593242210600
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1593242210600
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1593242210600
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1593242210600
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1593242210600
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1593242210600
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1593242210600
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1593242210600
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1593242210600
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1593242210600
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1593242210600
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1593242210615
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1593242210615
os,sysinfo,,,"win32",1593242210615
arch,sysinfo,,,"x86",1593242210615
ws,sysinfo,,,"win32",1593242210615
locale,sysinfo,,,"en_IN",1593242210615
processors,sysinfo,,,"2",1593242210615
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1593242210615
java.runtime.version,sysinfo,,,"1.8.0_251-b08",1593242210615
java.specification.name,sysinfo,,,"Java Platform API Specification",1593242210615
java.specification.vendor,sysinfo,,,"Oracle Corporation",1593242210615
java.specification.version,sysinfo,,,"1.8",1593242210615
java.vendor,sysinfo,,,"Oracle Corporation",1593242210615
java.version,sysinfo,,,"1.8.0_251",1593242210615
java.vm.info,sysinfo,,,"mixed mode",1593242210615
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1593242210615
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1593242210615
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1593242210615
java.vm.specification.version,sysinfo,,,"1.8",1593242210615
java.vm.vendor,sysinfo,,,"Oracle Corporation",1593242210615
java.vm.version,sysinfo,,,"25.251-b08",1593242210615
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1593242257129
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1593242257528
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1593242294309
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1593242294339
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1593242294368
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1593242592663
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1593242949271
